genotype	taxon_id	MuV_genotype
Mumps virus genotype A	1395181	A
Mumps virus genotype B	1395182	B
Mumps virus genotype C	1428458	C
Mumps virus genotype D	1395179	D
Mumps virus genotype D1	1496285	D1
Mumps virus genotype F	1384673	F
Mumps virus genotype G	1384672	G
Mumps virus genotype G1	1496281	G1
Mumps virus genotype G2	1496282	G2
Mumps virus genotype H	1395180	H
Mumps virus genotype H1	1496283	H1
Mumps virus genotype H2	1496284	H2
Mumps virus genotype I	1578041	I
Mumps virus genotype J	1428459	J
Mumps virus genotype K	1428460	K
Mumps virus genotype K/M	1428461	K/M
Mumps virus genotype L	1866277	L
Mumps virus genotype M	1780347	M
Mumps virus genotype N	1395183	N
