accession	accession_version	strain	isolate	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	authors	full_authors	institution	url	genotype	MuV_genotype	taxon_id	MuV_genotype_nextclade_sh	MuV_genotype_nextclade_genome	MuV_genotype_nextclade_genome_new	Match
MT063470	MT063470.1	PREDICT_KHAH0962	PREDICT_KHAH0962	2017-XX-XX	Asia	Cambodia			516	Homo sapiens		2020-04-30	2020-04-30	?		"University of California, Davis, One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine"	https://www.ncbi.nlm.nih.gov/nuccore/MT063470	Mumps orthorubulavirus		2560602		K	A	FALSE
MT063471	MT063471.1	PREDICT_KHAH0963	PREDICT_KHAH0963	2018-XX-XX	Asia	Cambodia			530	Homo sapiens		2020-04-30	2020-04-30	?		"University of California, Davis, One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine"	https://www.ncbi.nlm.nih.gov/nuccore/MT063471	Mumps orthorubulavirus		2560602		K	A	FALSE
MT063524	MT063524.1	PREDICT_KHAH1046	PREDICT_KHAH1046	2018-XX-XX	Asia	Cambodia			510	Homo sapiens		2020-04-30	2020-04-30	?		"University of California, Davis, One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine"	https://www.ncbi.nlm.nih.gov/nuccore/MT063524	Mumps orthorubulavirus		2560602		K	A	FALSE
MT063702	MT063702.1	PREDICT_VNAH1010	PREDICT_VNAH1010	2018-XX-XX	Asia	Vietnam			510	Homo sapiens		2020-04-30	2020-04-30	?		"University of California, Davis, One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine"	https://www.ncbi.nlm.nih.gov/nuccore/MT063702	Mumps orthorubulavirus		2560602		K	A	FALSE
MT238810	MT238810.1	MuVs/Alblasserdam.NLD/49.18[G]		2018-XX-XX	Europe	Netherlands	Alblasserdam		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238810	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238811	MT238811.1	MuVs/Amsterdam.NLD/11.19/2[G]		2019-XX-XX	Europe	Netherlands	North Holland	Amsterdam	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238811	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238812	MT238812.1	MuVs/Amsterdam.NLD/11.19/3[G]		2019-XX-XX	Europe	Netherlands	North Holland	Amsterdam	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238812	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238813	MT238813.1	MuVs/Amsterdam.NLD/12.19[G]		2019-XX-XX	Europe	Netherlands	North Holland	Amsterdam	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238813	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238814	MT238814.1	MuVs/Amsterdam.NLD/17.18[G]		2018-XX-XX	Europe	Netherlands	North Holland	Amsterdam	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238814	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238815	MT238815.1	MuVs/Amsterdam.NLD/7.19[G]		2019-XX-XX	Europe	Netherlands	North Holland	Amsterdam	758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238815	Mumps virus genotype G	G	1384672		G	A	FALSE
